iter	MAE
0	0.7948348818
1	0.7800323893
2	0.7656990197
3	0.7477903884
4	0.7354729388
5	0.7210764788
6	0.7092334869
7	0.6959729431
8	0.683000244
9	0.6709356169
10	0.6544304538
11	0.6443930962
12	0.6306731622
13	0.6220821608
14	0.6157809
15	0.6066032787
16	0.5965095819
17	0.5879953673
18	0.5749870142
19	0.5655060638
20	0.5588627306
21	0.5534227978
22	0.5453476857
23	0.5355249655
24	0.527479146
25	0.5214530824
26	0.5138360689
27	0.509073144
28	0.4971131401
29	0.4931143012
30	0.4861784866
31	0.4774860569
32	0.470556248
33	0.4617111015
34	0.4578296803
35	0.4506628228
36	0.4433550818
37	0.4375704408
38	0.4329319352
39	0.4250581006
40	0.41740513
41	0.4105985243
42	0.4065617746
43	0.3998802498
44	0.3928245569
45	0.3880887903
46	0.3827242704
47	0.3794522107
48	0.3756203077
49	0.3706322563
50	0.3665459041
51	0.3595992076
52	0.3542545704
53	0.3499483754
54	0.3462960789
55	0.3404220643
56	0.3352729101
57	0.329924181
58	0.3245079074
59	0.321533521
60	0.3162446285
61	0.3130379368
62	0.3107160202
63	0.3074557475
64	0.3033941148
65	0.3001165405
66	0.2952745074
67	0.2918452456
68	0.2899361884
69	0.2872219821
70	0.2849398221
71	0.2817041337
72	0.2780264539
73	0.2742951793
74	0.271284827
75	0.2677538451
76	0.2655380045
77	0.2621277971
78	0.2580873439
79	0.2546468358
80	0.2521228
81	0.2495612508
82	0.2484684547
83	0.246423596
84	0.2447774207
85	0.2423454444
86	0.2392843594
87	0.237690388
88	0.235915654
89	0.2343104621
90	0.2327689132
91	0.2299880046
92	0.227199413
93	0.2253298648
94	0.2237277195
95	0.2220132502
96	0.2201840353
97	0.2184264221
98	0.216785148
99	0.2147905708
100	0.2120189798
101	0.2086760483
102	0.2067538354
103	0.2039707852
104	0.2030966328
105	0.2019886443
106	0.1998524601
107	0.1986237258
108	0.1975924888
109	0.1963427737
110	0.1942256506
111	0.1918186352
112	0.1911235079
113	0.190366572
114	0.1889009593
115	0.1879681558
116	0.1859471148
117	0.1836269431
118	0.1816445116
119	0.1807243499
120	0.1795203682
121	0.1784468314
122	0.1771120036
123	0.1763970003
124	0.1746261636
125	0.1722217902
126	0.1705434435
127	0.1688147251
128	0.1674554317
129	0.1665738101
130	0.1639313563
131	0.1633335696
132	0.1619386519
133	0.161370089
134	0.1595965472
135	0.1579518485
136	0.156545734
137	0.1544522172
138	0.1531891989
139	0.1523968771
140	0.151465971
141	0.1503362479
142	0.1498734876
143	0.1490316188
144	0.1479460741
145	0.1466096248
146	0.1460600404
147	0.1458220537
148	0.1453278502
149	0.1444332882
150	0.1437069782
151	0.1424020432
152	0.1418775006
153	0.1411784029
154	0.1399115689
155	0.1381595744
156	0.1371771994
157	0.1359015113
158	0.1348770084
159	0.132184651
160	0.1311736891
161	0.1305699969
162	0.1302970602
163	0.1294299159
164	0.1280710206
165	0.1255839506
166	0.1251181553
167	0.1248609757
168	0.1242127268
169	0.1235941806
170	0.1227296064
171	0.1219282783
172	0.1212370201
173	0.1206932238
174	0.1200869007
175	0.1194562781
176	0.1188696871
177	0.117542992
178	0.1168209934
179	0.1161421695
180	0.1153886879
181	0.1147293236
182	0.1136059649
183	0.1126131753
184	0.1115377146
185	0.110347545
186	0.1092355939
187	0.1080309665
188	0.1071351972
189	0.1058799668
190	0.1048090587
191	0.1038858478
192	0.103289932
193	0.1026322735
194	0.1012380104
195	0.1009002513
196	0.1003198881
197	0.09945567911
198	0.0985053435
199	0.09734737384
200	0.09680059732
201	0.09562657894
202	0.09486727744
203	0.09325561326
204	0.09266318473
205	0.09156327731
206	0.09036905594
207	0.08927417667
208	0.08792517149
209	0.08711446438
210	0.08657576167
211	0.08567448774
212	0.08454024351
213	0.08378645071
214	0.08278620145
215	0.08196881687
216	0.0812450424
217	0.07993347487
218	0.07926908975
219	0.07892440852
220	0.0785424973
221	0.07837884915
222	0.07785380316
223	0.0772342639
224	0.07689053137
225	0.07620125719
226	0.07500414159
227	0.07455747708
228	0.07424842684
229	0.07368895614
230	0.07326016948
231	0.07297219041
232	0.07241938761
233	0.07146946609
234	0.07097541769
235	0.07039377792
236	0.06957260012
237	0.06864593774
238	0.06828463618
239	0.06798132917
240	0.06676116566
241	0.06533322561
242	0.06400693387
243	0.06358851821
244	0.06263461347
245	0.06234546875
246	0.06194779018
247	0.06149838591
248	0.06089758921
249	0.06061889137
250	0.06019641852
251	0.05946012197
252	0.05888662166
253	0.05867338329
254	0.05845320274
255	0.05820969033
256	0.05779854753
257	0.05747719472
258	0.05699792393
259	0.05670779688
260	0.05645517123
261	0.0559220913
262	0.05537537069
263	0.0547883837
264	0.05424275944
265	0.05363093078
266	0.05355266123
267	0.05300802819
268	0.05253657761
269	0.05237114159
270	0.0521600609
271	0.05182373859
272	0.05112281991
273	0.05081083288
274	0.05068957867
275	0.05027502192
276	0.0500373117
277	0.04950563199
278	0.0492361879
279	0.04881595778
280	0.048390537
281	0.04780715919
282	0.04753279385
283	0.04728968107
284	0.04709498167
285	0.04683216952
286	0.04652677757
287	0.04569070675
288	0.04549192285
289	0.04537304447
290	0.04528980034
291	0.04478203681
292	0.04452398421
293	0.04431114019
294	0.04402472957
295	0.04391194218
296	0.04382983761
297	0.04335484093
298	0.0429807355
299	0.04268020484
300	0.04211906284
301	0.04175076862
302	0.04123019063
303	0.0411053657
304	0.04102840011
305	0.04081854474
306	0.04079713534
307	0.0407433055
308	0.04055347235
309	0.04041859757
310	0.04036299216
311	0.04020627237
312	0.03990330668
313	0.03973915114
314	0.03954507679
315	0.0393681885
316	0.03882683221
317	0.03874028784
318	0.03867536864
319	0.03847751676
320	0.03827923408
321	0.03808720539
322	0.03798829189
323	0.03774701183
324	0.03765768462
325	0.03750659001
326	0.03735401753
327	0.03719010489
328	0.03702527336
329	0.0368789244
330	0.0367508378
331	0.03660010209
332	0.03650072566
333	0.0364088553
334	0.03632081644
335	0.03624264425
336	0.03617858746
337	0.0360044579
338	0.03586295631
339	0.03557785612
340	0.03543618006
341	0.03528013733
342	0.03503297757
343	0.03485563685
344	0.03441878584
345	0.03439055681
346	0.03431140374
347	0.03412562549
348	0.03391446586
349	0.03382841126
350	0.03369216265
351	0.03360331367
352	0.03351273373
353	0.03328998748
354	0.03322006574
355	0.03318701323
356	0.0330663599
357	0.03296748821
358	0.03288466181
359	0.03276228302
360	0.03273897217
361	0.03271186595
362	0.03260145009
363	0.03245478883
364	0.03232092268
365	0.03211529736
366	0.031670453
367	0.03164492834
368	0.03157806889
369	0.03154441611
370	0.03146572703
371	0.03144008414
372	0.03140665857
373	0.0313785023
374	0.03132107879
375	0.03123082673
376	0.03095296643
377	0.03088207325
378	0.03079987323
379	0.03048902111
380	0.03040930006
381	0.03037944556
382	0.03031468009
383	0.03023200911
384	0.03019966302
385	0.03017135154
386	0.03014916177
387	0.03013154678
388	0.0296515326
389	0.02961810665
390	0.02954369911
391	0.02951918203
392	0.02936822436
393	0.02932635185
394	0.02920553683
395	0.02917522826
396	0.02911671279
397	0.02909900381
398	0.02867319299
399	0.02858841873
400	0.02847263317
401	0.02844668975
402	0.0283485489
403	0.02824915225
404	0.02823472895
405	0.02803638834
406	0.02800120577
407	0.02792906083
408	0.02790722797
409	0.02741547513
410	0.02740443947
411	0.02738034034
412	0.02728336398
413	0.02671038387
414	0.02647932015
415	0.02640075885
416	0.0263726253
417	0.02617488246
418	0.02605590692
419	0.02604330815
420	0.02600830043
421	0.02556677916
422	0.02528511117
423	0.02522840505
424	0.0252078939
425	0.025188917
426	0.0247880106
427	0.0247716725
428	0.02470344354
429	0.02423329013
430	0.02401158797
431	0.02398985679
432	0.02387642043
433	0.02365487466
434	0.02363309354
435	0.02353138738
436	0.02338818753
437	0.02324928368
438	0.02311468032
439	0.02309388953
440	0.02271936205
441	0.02266475282
442	0.02257326021
443	0.02248943346
444	0.0220315049
445	0.02201335223
446	0.02197295644
447	0.02194631148
448	0.02189323814
449	0.02176278794
450	0.02171947385
451	0.02124034105
452	0.0212108318
453	0.02090702513
454	0.02079284838
455	0.02072962882
456	0.02066523949
457	0.02047976772
458	0.0202752027
459	0.01995402381
460	0.01975166322
461	0.01970012916
462	0.019530587
463	0.01941419578
464	0.0190462813
465	0.01870527016
466	0.01866548188
467	0.01860974522
468	0.01857261571
469	0.01855810198
470	0.01852199538
471	0.01848702309
472	0.01847443702
473	0.01843946508
474	0.01838499262
475	0.01837401225
476	0.01835112557
477	0.0183256869
478	0.01794207989
479	0.01756998149
480	0.01752308567
481	0.01748414712
482	0.01745258163
483	0.01741306787
484	0.01727378818
485	0.01713480163
486	0.01708823052
487	0.01705500017
488	0.01691425597
489	0.01677715525
490	0.01672072211
491	0.01643636933
492	0.01640271529
493	0.01636064447
494	0.01631909822
495	0.01607723176
496	0.01603831533
497	0.01580430342
498	0.01576721633
499	0.01573189416
500	0.01569706471
501	0.01547250288
502	0.01525400566
503	0.01504184241
504	0.01501158816
505	0.01498224725
506	0.01477491413
507	0.014577816
508	0.0145508305
509	0.0145257211
510	0.01433713194
511	0.01430941973
512	0.01420236144
513	0.01405736764
514	0.01396972109
515	0.01388471612
516	0.01385968158
517	0.01384459335
518	0.01366307399
519	0.01365421918
520	0.01364957342
521	0.01346598442
522	0.01346293428
523	0.01345762799
524	0.01344776522
525	0.01328805497
526	0.01328545748
527	0.01328294618
528	0.0131249534
529	0.01304372439
530	0.01296480418
531	0.01288825247
532	0.01288541314
533	0.01284374246
534	0.01278811305
535	0.01262681714
536	0.01262339685
537	0.01261117421
538	0.01259040999
539	0.01256194009
540	0.0125339964
541	0.01250644733
542	0.01239351368
543	0.01224049316
544	0.01222527581
545	0.01207789803
546	0.01206109036
547	0.01191436965
548	0.01180666812
549	0.01159560826
550	0.01145451824
551	0.01133394433
552	0.01120419447
553	0.01101596058
554	0.01083201781
555	0.01076306867
556	0.01069430707
557	0.01061151655
558	0.01058470988
559	0.01055375084
560	0.01051196043
561	0.0104453406
562	0.01033312207
563	0.01029776177
564	0.01023541316
565	0.01010997186
566	0.01007709578
567	0.01007003945
568	0.01003636556
569	0.009916541864
570	0.009815127255
571	0.009710518653
572	0.009704796713
573	0.009698505961
574	0.009685196591
575	0.009675603393
576	0.009664598177
577	0.009655218189
578	0.009649062396
579	0.00964199631
580	0.00963619202
581	0.009628667951
582	0.009621199121
583	0.009548976868
584	0.009540208189
585	0.009532826443
586	0.009527961589
587	0.009479832987
588	0.009470201522
589	0.009463535127
590	0.009455302462
591	0.009427891555
592	0.009420655052
593	0.009410778086
594	0.009365631477
595	0.00935759162
596	0.009350746003
597	0.009342358852
598	0.009258420665
599	0.009232485957
600	0.009206529664
601	0.009194075739
602	0.009186122546
603	0.009113081094
604	0.0090899655
605	0.00908564434
606	0.009079866779
607	0.009073558441
608	0.009053697047
609	0.009048723773
610	0.009044092697
611	0.009030164317
612	0.009025815428
613	0.008975153816
614	0.008970691196
615	0.008920013881
616	0.008915400647
617	0.00891233564
618	0.008907839256
619	0.008900934333
620	0.008897154107
621	0.008836830916
622	0.008741592978
623	0.008739141683
624	0.008698817998
625	0.008633733202
626	0.008623122143
627	0.008586247097
628	0.00857750066
629	0.008553000214
630	0.008548384005
631	0.008537081761
632	0.008528524434
633	0.008398430393
634	0.008375384497
635	0.008354541337
636	0.008343929767
637	0.008323303176
638	0.008302404869
639	0.008281621105
640	0.008261465212
641	0.008242588427
642	0.008223649388
643	0.008216749575
644	0.008207111702
645	0.008201625528
646	0.008194170474
647	0.008187139542
648	0.008170683768
649	0.008165548245
650	0.008148894461
651	0.008141349852
652	0.008102671557
653	0.008086568482
654	0.008071489532
655	0.008055391588
656	0.008007723118
657	0.008002134735
658	0.007987367968
659	0.007985689167
660	0.007982925806
661	0.007979196544
662	0.007975585155
663	0.007973212401
664	0.00797054217
665	0.007968459698
666	0.007961723539
667	0.007958922381
668	0.007947040716
669	0.007943197046
